BASIC,pack_current,pack_inst_voltage,pack_soc,relay_state,checksum,BMS_TEMP,pack_dcl,pack_ccl,BMS_high_temp,BMS_low_temp,checksum,STRINGS,high_cell_voltage,high_cell_voltage_id,low_cell_voltage,low_cell_voltage_id,checksum,BATTERY_TEMP,cell_high_temp,high_thermistor_id,cell_low_temp,low_thermistor_id,avg_temp,internal_temp,checksum,HEALTH,pack_health,adaptive_total_capacity,input_supply_voltage,checksum,CELL,cell_id,instant_voltage,internal_resistance,open_voltage,checksum,timestamp
BASIC,0.0,86.0,0.0,46312,179,BMS_TEMP,60,48,24,22,83,STRINGS,3.7504,21,3.6563,11,37632,BATTERY_TEMP,24,6,22,111,22,24,53504,HEALTH,100,0,12.6,27983,CELL,14,3.7495,477,3.7497,0,2026-04-01 16:41:30.846669
BASIC,0.0,86.0,0.0,46312,179,BMS_TEMP,60,48,24,22,83,STRINGS,3.7505,21,3.6562,11,37632,BATTERY_TEMP,24,6,22,111,22,24,53504,HEALTH,100,0,12.6,27726,CELL,17,3.7489,477,3.7491,0,2026-04-01 16:41:30.990218
BASIC,0.0,86.0,0.0,46312,179,BMS_TEMP,60,48,24,22,83,STRINGS,3.7505,21,3.6564,11,38144,BATTERY_TEMP,24,6,22,111,22,24,53504,HEALTH,100,0,12.6,27983,CELL,0,3.7331,477,3.7333,0,2026-04-01 16:41:31.601136
BASIC,0.0,86.0,0.0,46312,179,BMS_TEMP,60,48,24,22,83,STRINGS,3.7505,21,3.6564,11,38144,BATTERY_TEMP,24,6,22,111,22,24,53504,HEALTH,100,0,12.6,27983,CELL,18,3.748,477,3.7479,0,2026-04-01 16:41:32.120721
BASIC,0.0,86.0,0.0,46312,179,BMS_TEMP,60,48,24,22,83,STRINGS,3.7506,21,3.6563,11,38144,BATTERY_TEMP,24,6,22,111,22,24,53504,HEALTH,100,0,12.6,27983,CELL,10,3.6563,477,3.6565,0,2026-04-01 16:41:32.432648
BASIC,0.0,86.0,0.0,46312,179,BMS_TEMP,60,48,24,22,83,STRINGS,3.7507,21,3.6564,11,38656,BATTERY_TEMP,24,6,22,111,22,24,53504,HEALTH,100,0,12.6,27726,CELL,19,3.7489,477,3.749,0,2026-04-01 16:41:32.640754
BASIC,0.0,86.0,0.0,46312,179,BMS_TEMP,60,48,24,22,83,STRINGS,3.7506,21,3.6562,11,37888,BATTERY_TEMP,24,6,22,111,22,24,53504,HEALTH,100,0,12.6,27983,CELL,2,3.7423,477,3.7425,0,2026-04-01 16:41:33.056756
BASIC,0.0,86.0,0.0,46312,179,BMS_TEMP,60,48,24,22,83,STRINGS,3.7506,21,3.6563,11,38144,BATTERY_TEMP,24,6,22,111,22,24,53504,HEALTH,100,0,12.6,27726,CELL,14,3.7496,477,3.7496,0,2026-04-01 16:41:33.199352
BASIC,0.0,86.0,0.0,46312,179,BMS_TEMP,60,48,24,22,83,STRINGS,3.7506,21,3.6561,11,37632,BATTERY_TEMP,24,6,22,111,22,24,53504,HEALTH,100,0,12.6,27983,CELL,17,3.7488,477,3.749,0,2026-04-01 16:41:33.342512
BASIC,0.0,86.0,0.0,46312,179,BMS_TEMP,60,48,24,22,83,STRINGS,3.7505,21,3.6563,11,37888,BATTERY_TEMP,24,6,22,111,22,24,53504,HEALTH,100,0,12.6,27726,CELL,20,3.7505,477,3.7508,0,2026-04-01 16:41:33.484786
BASIC,0.0,86.0,0.0,46312,179,BMS_TEMP,60,48,24,22,83,STRINGS,3.7505,21,3.6562,11,37632,BATTERY_TEMP,24,6,22,111,22,24,53504,HEALTH,100,0,12.6,27983,CELL,3,3.748,477,3.7482,0,2026-04-01 16:41:33.629633
BASIC,0.0,86.0,0.0,46312,179,BMS_TEMP,60,48,24,22,83,STRINGS,3.7505,21,3.6563,11,37888,BATTERY_TEMP,24,6,22,111,22,24,53504,HEALTH,100,0,12.6,27983,CELL,6,3.747,477,3.747,0,2026-04-01 16:41:33.771281
BASIC,0.0,86.0,0.0,46312,179,BMS_TEMP,60,48,24,22,83,STRINGS,3.7504,21,3.6562,11,37376,BATTERY_TEMP,24,6,22,111,22,24,53504,HEALTH,100,0,12.6,27983,CELL,9,3.7467,477,3.7469,0,2026-04-01 16:41:33.914713
BASIC,0.0,86.0,0.0,46312,179,BMS_TEMP,60,48,24,22,83,STRINGS,3.7505,21,3.6563,11,37888,BATTERY_TEMP,24,6,22,111,22,24,53504,HEALTH,100,0,12.6,27983,CELL,12,3.7488,477,3.749,0,2026-04-01 16:41:34.201842
BASIC,0.0,86.0,0.0,46312,179,BMS_TEMP,60,48,24,22,83,STRINGS,3.7506,21,3.6563,11,38144,BATTERY_TEMP,24,6,22,111,22,24,53504,HEALTH,100,0,12.6,27726,CELL,1,3.7423,477,3.7423,0,2026-04-01 16:41:34.616157
BASIC,0.0,86.0,0.0,46312,179,BMS_TEMP,60,48,24,22,83,STRINGS,3.7505,21,3.6563,11,37888,BATTERY_TEMP,24,6,22,111,22,24,53504,HEALTH,100,0,12.6,27983,CELL,13,3.7472,477,3.7474,0,2026-04-01 16:41:34.761598
BASIC,0.0,86.0,0.0,46312,179,BMS_TEMP,60,48,24,22,83,STRINGS,3.7506,21,3.6562,11,37888,BATTERY_TEMP,24,6,22,111,22,24,53504,HEALTH,100,0,12.6,27726,CELL,16,3.7496,477,3.7499,0,2026-04-01 16:41:35.345439
BASIC,0.0,86.0,0.0,46312,179,BMS_TEMP,60,48,24,22,83,STRINGS,3.7505,21,3.6563,11,37888,BATTERY_TEMP,24,6,22,111,22,24,53504,HEALTH,100,0,12.6,27726,CELL,11,3.7497,477,3.7498,0,2026-04-01 16:41:35.488000
BASIC,0.0,86.0,0.0,46312,179,BMS_TEMP,60,48,24,22,83,STRINGS,3.7507,21,3.6563,11,38400,BATTERY_TEMP,24,6,22,111,22,24,53504,HEALTH,100,0,12.6,27726,CELL,14,3.7496,477,3.7498,0,2026-04-01 16:41:35.760464
BASIC,0.0,86.0,0.0,46312,179,BMS_TEMP,60,48,24,22,83,STRINGS,3.7505,21,3.6563,11,37888,BATTERY_TEMP,24,6,22,111,22,24,53504,HEALTH,100,0,12.6,27726,CELL,0,3.7331,477,3.7332,0,2026-04-01 16:41:36.489094
BASIC,0.0,86.0,0.0,46312,179,BMS_TEMP,60,48,24,22,83,STRINGS,3.7506,21,3.6562,11,37888,BATTERY_TEMP,24,6,22,111,22,24,53504,HEALTH,100,0,12.6,27726,CELL,21,3.7497,477,3.7497,0,2026-04-01 16:41:36.632607
BASIC,0.0,86.0,0.0,46312,179,BMS_TEMP,60,48,24,22,83,STRINGS,3.7505,21,3.6563,11,37888,BATTERY_TEMP,24,6,22,111,22,24,53504,HEALTH,100,0,12.6,27983,CELL,1,3.7423,477,3.7424,0,2026-04-01 16:41:36.774051
BASIC,0.0,86.0,0.0,46312,179,BMS_TEMP,60,48,24,22,83,STRINGS,3.7505,21,3.6563,11,37888,BATTERY_TEMP,24,6,22,111,22,24,53504,HEALTH,100,0,12.6,27726,CELL,4,3.7436,477,3.7437,0,2026-04-01 16:41:36.917216
BASIC,0.0,86.0,0.0,46312,179,BMS_TEMP,60,48,24,22,83,STRINGS,3.7505,21,3.6563,11,37888,BATTERY_TEMP,24,6,22,111,22,24,53504,HEALTH,100,0,12.6,27726,CELL,7,3.7471,477,3.7472,0,2026-04-01 16:41:37.320801
BASIC,0.0,86.0,0.0,46312,179,BMS_TEMP,60,48,24,22,83,STRINGS,3.7505,21,3.6563,11,37888,BATTERY_TEMP,24,6,22,111,22,24,53504,HEALTH,100,0,12.6,27983,CELL,22,3.7492,477,3.7492,0,2026-04-01 16:41:37.463904
BASIC,0.0,86.0,0.0,46312,179,BMS_TEMP,60,48,24,22,83,STRINGS,3.7505,21,3.6562,11,37632,BATTERY_TEMP,24,6,22,111,22,24,53504,HEALTH,100,0,12.6,27983,CELL,2,3.7424,477,3.7425,0,2026-04-01 16:41:37.605886
BASIC,0.0,86.0,0.0,46312,179,BMS_TEMP,60,48,24,22,83,STRINGS,3.7505,21,3.6563,11,37888,BATTERY_TEMP,24,6,22,111,22,24,53504,HEALTH,100,0,12.6,27983,CELL,2,3.7425,477,3.7424,0,2026-04-01 16:41:38.049499
BASIC,0.0,86.0,0.0,46312,179,BMS_TEMP,60,48,24,22,83,STRINGS,3.7505,21,3.6562,11,37632,BATTERY_TEMP,24,6,22,111,22,24,53504,HEALTH,100,0,12.6,27726,CELL,20,3.7505,477,3.7506,0,2026-04-01 16:41:38.192874
BASIC,0.0,86.0,0.0,46312,179,BMS_TEMP,60,48,24,22,83,STRINGS,3.7505,21,3.6563,11,37888,BATTERY_TEMP,24,6,22,111,22,24,53504,HEALTH,100,0,12.6,27726,CELL,0,3.7331,477,3.7332,0,2026-04-01 16:41:38.333762
BASIC,0.0,86.0,0.0,46312,179,BMS_TEMP,60,48,24,22,83,STRINGS,3.7506,21,3.6564,11,38400,BATTERY_TEMP,24,6,22,111,22,24,53504,HEALTH,100,0,12.6,27983,CELL,3,3.7479,477,3.748,0,2026-04-01 16:41:38.881172
BASIC,0.0,86.0,0.0,46312,179,BMS_TEMP,60,48,24,22,83,STRINGS,3.7504,21,3.6563,11,37632,BATTERY_TEMP,24,6,22,111,22,24,53504,HEALTH,100,0,12.6,27726,CELL,21,3.7496,477,3.7496,0,2026-04-01 16:41:39.024144
BASIC,0.0,86.0,0.0,46312,179,BMS_TEMP,60,48,24,22,83,STRINGS,3.7505,21,3.6563,11,37888,BATTERY_TEMP,24,6,22,111,22,24,53504,HEALTH,100,0,12.6,27726,CELL,11,3.7495,477,3.7497,0,2026-04-01 16:41:39.192853
BASIC,0.0,86.0,0.0,46312,179,BMS_TEMP,60,48,24,22,83,STRINGS,3.7505,21,3.6563,11,37888,BATTERY_TEMP,24,6,22,111,22,24,53504,HEALTH,100,0,12.6,27983,CELL,7,3.747,477,3.7472,0,2026-04-01 16:41:39.505563
BASIC,0.0,86.0,0.0,46312,179,BMS_TEMP,60,48,24,22,83,STRINGS,3.7506,21,3.6564,11,38400,BATTERY_TEMP,24,6,22,111,22,24,53504,HEALTH,100,0,12.6,27983,CELL,16,3.7497,477,3.75,0,2026-04-01 16:41:39.712801
BASIC,0.0,86.0,0.0,46312,179,BMS_TEMP,60,48,24,22,83,STRINGS,3.7507,21,3.6562,11,38144,BATTERY_TEMP,24,6,22,111,22,24,53504,HEALTH,100,0,12.6,27983,CELL,22,3.7489,477,3.7493,0,2026-04-01 16:41:39.921767
BASIC,0.0,86.0,0.0,46312,179,BMS_TEMP,60,48,24,22,83,STRINGS,3.7505,21,3.6564,11,38144,BATTERY_TEMP,24,6,22,111,22,24,53504,HEALTH,100,0,12.6,27983,CELL,5,3.7451,477,3.7454,0,2026-04-01 16:41:40.440970
BASIC,0.0,86.0,0.0,46312,179,BMS_TEMP,60,48,24,22,83,STRINGS,3.7506,21,3.6564,11,38400,BATTERY_TEMP,24,6,22,111,22,24,53504,HEALTH,100,0,12.6,27726,CELL,20,3.7507,477,3.7507,0,2026-04-01 16:41:40.583968
BASIC,0.0,86.0,0.0,46312,179,BMS_TEMP,60,48,24,22,83,STRINGS,3.7506,21,3.6563,11,38144,BATTERY_TEMP,24,6,22,111,22,24,53504,HEALTH,100,0,12.6,27726,CELL,0,3.7331,477,3.7331,0,2026-04-01 16:41:40.725839
BASIC,0.0,86.0,0.0,46312,179,BMS_TEMP,60,48,24,22,83,STRINGS,3.7506,21,3.6563,11,38144,BATTERY_TEMP,24,6,22,111,22,24,53504,HEALTH,100,0,12.6,27983,CELL,3,3.748,477,3.7481,0,2026-04-01 16:41:40.869044
BASIC,0.0,86.0,0.0,46312,179,BMS_TEMP,60,48,24,22,83,STRINGS,3.7506,21,3.6563,11,38144,BATTERY_TEMP,24,6,22,111,22,24,53504,HEALTH,100,0,12.6,27726,CELL,13,3.7471,477,3.7472,0,2026-04-01 16:41:41.011820
BASIC,0.0,86.0,0.0,46312,179,BMS_TEMP,60,48,24,22,83,STRINGS,3.7506,21,3.6564,11,38400,BATTERY_TEMP,24,6,22,111,22,24,53504,HEALTH,100,0,12.6,27726,CELL,12,3.7489,477,3.7489,0,2026-04-01 16:41:41.169293
BASIC,0.0,86.0,0.0,46312,179,BMS_TEMP,60,48,24,22,83,STRINGS,3.7505,21,3.6563,11,37888,BATTERY_TEMP,24,6,22,111,22,24,53504,HEALTH,100,0,12.6,27983,CELL,18,3.7476,477,3.7479,0,2026-04-01 16:41:41.480839
BASIC,0.0,86.0,0.0,46312,179,BMS_TEMP,60,48,24,22,83,STRINGS,3.7505,21,3.6562,11,37632,BATTERY_TEMP,24,6,22,111,22,24,53504,HEALTH,100,0,12.6,27983,CELL,4,3.7436,477,3.7437,0,2026-04-01 16:41:41.623952
BASIC,0.0,86.0,0.0,46312,179,BMS_TEMP,60,48,24,22,83,STRINGS,3.7506,21,3.6563,11,38144,BATTERY_TEMP,24,6,22,111,22,24,53504,HEALTH,100,0,12.6,27983,CELL,7,3.7471,477,3.7472,0,2026-04-01 16:41:41.896749
BASIC,0.0,86.0,0.0,46312,179,BMS_TEMP,60,48,24,22,83,STRINGS,3.7505,21,3.6562,11,37632,BATTERY_TEMP,24,6,22,111,22,24,53504,HEALTH,100,0,12.6,27983,CELL,16,3.7499,477,3.75,0,2026-04-01 16:41:42.040016
BASIC,0.0,86.0,0.0,46312,179,BMS_TEMP,60,48,24,22,83,STRINGS,3.7505,21,3.6562,11,37632,BATTERY_TEMP,24,6,22,111,22,24,53504,HEALTH,100,0,12.6,27983,CELL,19,3.749,477,3.7491,0,2026-04-01 16:41:42.181921
BASIC,0.0,86.0,0.0,46312,179,BMS_TEMP,60,48,24,22,83,STRINGS,3.7507,21,3.6564,11,38656,BATTERY_TEMP,24,6,22,111,22,24,53504,HEALTH,100,0,12.6,27983,CELL,22,3.7491,477,3.7491,0,2026-04-01 16:41:42.521467
BASIC,0.0,86.0,0.0,46312,179,BMS_TEMP,60,48,24,22,83,STRINGS,3.7505,21,3.6563,11,37888,BATTERY_TEMP,24,6,22,111,22,24,53504,HEALTH,100,0,12.6,27983,CELL,11,3.7496,477,3.7497,0,2026-04-01 16:41:42.663933
BASIC,0.0,86.0,0.0,46312,179,BMS_TEMP,60,48,24,22,83,STRINGS,3.7504,21,3.6564,11,37888,BATTERY_TEMP,24,6,22,111,22,24,53504,HEALTH,100,0,12.6,27726,CELL,1,3.7422,477,3.7423,0,2026-04-01 16:41:43.041069
